date,wave,HR,province,cases,HRUID2018
2020-03-28,1,Kingston Frontenac Lennox and Addington,Ontario,,3541
2020-03-29,1,Kingston Frontenac Lennox and Addington,Ontario,,3541
2020-03-30,1,Kingston Frontenac Lennox and Addington,Ontario,12,3541
2020-03-31,1,Kingston Frontenac Lennox and Addington,Ontario,8,3541
2020-04-01,1,Kingston Frontenac Lennox and Addington,Ontario,11,3541
2020-04-02,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2020-04-03,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-04-04,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-05,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2020-04-06,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-07,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-08,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-04-09,1,Kingston Frontenac Lennox and Addington,Ontario,-1,3541
2020-04-10,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-11,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-12,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-04-13,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-14,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-04-15,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-16,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-17,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-18,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-19,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-20,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-04-21,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-04-22,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-04-23,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-24,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-25,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-26,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-27,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-28,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-29,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-04-30,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-05-01,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-02,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-03,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-04,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-05,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-06,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-07,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-08,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-09,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-10,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-11,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-12,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-13,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-14,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-15,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-16,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-17,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-18,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-19,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-05-20,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-21,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-22,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-05-23,1,Kingston Frontenac Lennox and Addington,Ontario,-1,3541
2020-05-24,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-25,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-26,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-27,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-28,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-29,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-30,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-05-31,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-01,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-06-02,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-03,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-04,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-05,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-06,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-07,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-08,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-09,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-10,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-11,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-12,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-13,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-14,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-15,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-16,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-17,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-18,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-19,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-20,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-21,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-06-22,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-23,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-06-24,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-06-25,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2020-06-26,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2020-06-27,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2020-06-28,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-06-29,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2020-06-30,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2020-07-01,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-07-02,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-03,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-07-04,1,Kingston Frontenac Lennox and Addington,Ontario,6,3541
2020-07-05,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-07-06,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-07,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-08,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-09,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-10,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-07-11,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-12,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-13,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-14,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-15,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-16,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-17,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-18,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-19,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-07-20,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-21,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-22,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-23,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-24,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-25,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-07-26,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-27,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-28,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-29,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-30,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-07-31,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-01,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-02,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-03,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-04,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-05,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-06,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-07,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-08,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-09,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-10,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-11,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-12,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-13,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-14,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-15,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-16,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-17,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-18,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-19,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-20,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-08-21,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-08-22,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-23,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-24,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-25,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-26,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-08-27,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-28,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-29,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-30,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-08-31,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-01,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-02,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-03,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-04,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-05,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-06,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-07,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-08,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-09,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-10,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-09-11,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-09-12,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-09-13,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-09-14,1,Kingston Frontenac Lennox and Addington,Ontario,-1,3541
2020-09-15,1,Kingston Frontenac Lennox and Addington,Ontario,-1,3541
2020-09-16,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-09-17,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-18,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-19,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-20,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-21,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-09-22,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-23,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-09-24,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-09-25,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-09-26,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-09-27,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-09-28,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-09-29,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-09-30,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-10-01,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-10-02,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2020-10-03,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2020-10-04,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-10-05,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-10-06,1,Kingston Frontenac Lennox and Addington,Ontario,6,3541
2020-10-07,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-10-08,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-10-09,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-10-10,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-10-11,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2020-10-12,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-10-13,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-10-14,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-10-15,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-10-16,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-10-17,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2020-10-18,1,Kingston Frontenac Lennox and Addington,Ontario,-2,3541
2020-10-19,1,Kingston Frontenac Lennox and Addington,Ontario,-1,3541
2020-10-20,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-10-21,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-10-22,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-10-23,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-10-24,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-10-25,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-10-26,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-10-27,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-10-28,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-10-29,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-10-30,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-10-31,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-11-01,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-11-02,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-11-03,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-11-04,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-11-05,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-11-06,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-11-07,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-11-08,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-11-09,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2020-11-10,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-11-11,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-11-12,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-11-13,1,Kingston Frontenac Lennox and Addington,Ontario,6,3541
2020-11-14,1,Kingston Frontenac Lennox and Addington,Ontario,10,3541
2020-11-15,1,Kingston Frontenac Lennox and Addington,Ontario,6,3541
2020-11-16,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-11-17,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2020-11-18,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-11-19,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-11-20,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-11-21,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-11-22,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-11-23,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-11-24,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-11-25,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-11-26,1,Kingston Frontenac Lennox and Addington,Ontario,7,3541
2020-11-27,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2020-11-28,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2020-11-29,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2020-11-30,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-12-01,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2020-12-02,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2020-12-03,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2020-12-04,1,Kingston Frontenac Lennox and Addington,Ontario,7,3541
2020-12-05,1,Kingston Frontenac Lennox and Addington,Ontario,13,3541
2020-12-06,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2020-12-07,1,Kingston Frontenac Lennox and Addington,Ontario,11,3541
2020-12-08,1,Kingston Frontenac Lennox and Addington,Ontario,6,3541
2020-12-09,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2020-12-10,1,Kingston Frontenac Lennox and Addington,Ontario,17,3541
2020-12-11,1,Kingston Frontenac Lennox and Addington,Ontario,13,3541
2020-12-12,1,Kingston Frontenac Lennox and Addington,Ontario,24,3541
2020-12-13,1,Kingston Frontenac Lennox and Addington,Ontario,13,3541
2020-12-14,1,Kingston Frontenac Lennox and Addington,Ontario,11,3541
2020-12-15,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2020-12-16,1,Kingston Frontenac Lennox and Addington,Ontario,15,3541
2020-12-17,1,Kingston Frontenac Lennox and Addington,Ontario,16,3541
2020-12-18,1,Kingston Frontenac Lennox and Addington,Ontario,9,3541
2020-12-19,1,Kingston Frontenac Lennox and Addington,Ontario,13,3541
2020-12-20,1,Kingston Frontenac Lennox and Addington,Ontario,13,3541
2020-12-21,1,Kingston Frontenac Lennox and Addington,Ontario,6,3541
2020-12-22,1,Kingston Frontenac Lennox and Addington,Ontario,6,3541
2020-12-23,1,Kingston Frontenac Lennox and Addington,Ontario,6,3541
2020-12-24,1,Kingston Frontenac Lennox and Addington,Ontario,7,3541
2020-12-25,1,Kingston Frontenac Lennox and Addington,Ontario,7,3541
2020-12-26,1,Kingston Frontenac Lennox and Addington,Ontario,13,3541
2020-12-27,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2020-12-28,1,Kingston Frontenac Lennox and Addington,Ontario,9,3541
2020-12-29,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2020-12-30,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2020-12-31,1,Kingston Frontenac Lennox and Addington,Ontario,13,3541
2021-01-01,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2021-01-02,1,Kingston Frontenac Lennox and Addington,Ontario,8,3541
2021-01-03,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2021-01-04,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2021-01-05,1,Kingston Frontenac Lennox and Addington,Ontario,9,3541
2021-01-06,1,Kingston Frontenac Lennox and Addington,Ontario,14,3541
2021-01-07,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2021-01-08,1,Kingston Frontenac Lennox and Addington,Ontario,12,3541
2021-01-09,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-01-10,1,Kingston Frontenac Lennox and Addington,Ontario,10,3541
2021-01-11,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2021-01-12,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2021-01-13,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-01-14,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2021-01-15,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2021-01-16,1,Kingston Frontenac Lennox and Addington,Ontario,-1,3541
2021-01-17,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-01-18,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2021-01-19,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2021-01-20,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-01-21,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-01-22,1,Kingston Frontenac Lennox and Addington,Ontario,7,3541
2021-01-23,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-01-24,1,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2021-01-25,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2021-01-26,1,Kingston Frontenac Lennox and Addington,Ontario,-1,3541
2021-01-27,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-01-28,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2021-01-29,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2021-01-30,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2021-01-31,1,Kingston Frontenac Lennox and Addington,Ontario,-1,3541
2021-02-01,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2021-02-02,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-02-03,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2021-02-04,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-02-05,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2021-02-06,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-02-07,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2021-02-08,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-02-09,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2021-02-10,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-02-11,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2021-02-12,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-02-13,1,Kingston Frontenac Lennox and Addington,Ontario,7,3541
2021-02-14,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2021-02-15,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2021-02-16,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2021-02-17,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2021-02-18,1,Kingston Frontenac Lennox and Addington,Ontario,3,3541
2021-02-19,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2021-02-20,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-02-21,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-02-22,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2021-02-23,1,Kingston Frontenac Lennox and Addington,Ontario,2,3541
2021-02-24,1,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2021-02-25,1,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2021-02-26,1,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2021-02-27,2,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2021-02-28,2,Kingston Frontenac Lennox and Addington,Ontario,1,3541
2021-03-01,2,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2021-03-02,2,Kingston Frontenac Lennox and Addington,Ontario,0,3541
2021-03-03,2,Kingston Frontenac Lennox and Addington,Ontario,5,3541
2021-03-04,2,Kingston Frontenac Lennox and Addington,Ontario,7,3541
2021-03-05,2,Kingston Frontenac Lennox and Addington,Ontario,4,3541
2021-03-06,2,Kingston Frontenac Lennox and Addington,Ontario,2,3541
